folder_name,grain_size,volume_ml,fill_height_cm,h,d_outer,r_inner,A_rim,d_fit,sigma_rim,mu_center,rms_error
1000-1300_400ml_40cm_measurement_results,1000-1300,400.0,40.0,1.1342309651421298,28.79771008784022,9.862694375879935,1.1342312245675896,12.130774978334314,1.9263293368071788,-0.03745809823559263,
600-800_400ml_40cm_measurement_results,600-800,400.0,40.0,0.8605540306720652,29.030875054364806,8.945991765120041,0.8605541186065704,11.730714607700943,2.365125216963644,0.086408253300085,
600-800_600ml_40cm_measurement_results,600-800,600.0,40.0,1.441434076288147,27.933193526770726,9.389963084313365,1.4414350835181082,11.678279930026358,1.9435158672087518,-0.33296229896437707,
300-400_600ml_40cm_measurement_results,300-400,600.0,40.0,0.9630605506260930,33.4960583046372,8.177023625261402,0.7963062871500677,10.96252639068063,3.215108961563562,-0.1520283794828655,
300-400_1000ml_40cm_measurement_results,300-400,1000.0,40.0,1.2434752445499657,31.430838575958276,8.086226451003322,1.2434752822896522,11.900823054743801,3.2398196566849817,0.12172401494340467,
300-400_800ml_40cm_measurement_results,300-400,800.0,40.0,1.1556425181381627,30.6683506838117,8.274269014319593,1.155642909015751,11.804222265539218,2.9980651328232018,-0.025836141507529536,
300-400_400ml_40cm_measurement_results,300-400,400.0,40.0,0.9323124272542856,28.496502916632814,7.1362266372668035,0.9323124406537029,10.692239052115465,3.02019859707602,0.39247789469835004,
300-400_600ml_20cm_measurement_results,300-400,600.0,20.0,1.6660333840556627,23.087891643990936,5.808311333457956,1.6660335985847115,8.676128357283027,2.4356992088394622,-0.24407603778537365,
300-400_600ml_30cm_measurement_results,300-400,600.0,30.0,1.1873350665984619,26.46727760156421,7.373048396978714,1.1873350671838978,10.303343570847494,2.488763555668812,-0.0020168454442111,
300-400_600ml_50cm_measurement_results,300-400,600.0,50.0,0.6985523872147252,34.78524768394195,7.730794288158893,0.6985524058858925,12.561726088525795,4.102986487673889,0.045319394453886705,
