LASER-LINIEN STARTPUNKTE
==================================================

ROI-Groesse: 2316 x 2316 px
Rand-Margin: 23 px (1.0%)
Gap-Toleranz: 23 px (1.0%)

Vertikale Startpunkte (am linken Rand): 352
  V1: x=0, y=329
  V2: x=0, y=364
  V3: x=0, y=390
  V4: x=0, y=596
  V5: x=0, y=680
  V6: x=0, y=722
  V7: x=0, y=861
  V8: x=0, y=990
  V9: x=0, y=1088
  V10: x=0, y=1234
  V11: x=0, y=1300
  V12: x=0, y=1358
  V13: x=0, y=1551
  V14: x=0, y=1595
  V15: x=0, y=2014
  V16: x=0, y=2152
  V17: x=1, y=95
  V18: x=1, y=373
  V19: x=1, y=403
  V20: x=1, y=728
  V21: x=1, y=855
  V22: x=1, y=994
  V23: x=1, y=1051
  V24: x=1, y=1177
  V25: x=1, y=1236
  V26: x=1, y=1273
  V27: x=1, y=1355
  V28: x=1, y=1496
  V29: x=1, y=1602
  V30: x=1, y=2015
  V31: x=2, y=105
  V32: x=2, y=147
  V33: x=2, y=375
  V34: x=2, y=408
  V35: x=2, y=730
  V36: x=2, y=802
  V37: x=2, y=857
  V38: x=2, y=918
  V39: x=2, y=1019
  V40: x=2, y=1102
  V41: x=2, y=1179
  V42: x=2, y=1239
  V43: x=2, y=1297
  V44: x=2, y=1355
  V45: x=2, y=1474
  V46: x=2, y=1610
  V47: x=2, y=2017
  V48: x=2, y=2053
  V49: x=2, y=2140
  V50: x=3, y=151
  V51: x=3, y=329
  V52: x=3, y=402
  V53: x=3, y=732
  V54: x=3, y=756
  V55: x=3, y=804
  V56: x=3, y=859
  V57: x=3, y=917
  V58: x=3, y=1002
  V59: x=3, y=1068
  V60: x=3, y=1202
  V61: x=3, y=1251
  V62: x=3, y=1368
  V63: x=3, y=1499
  V64: x=3, y=1613
  V65: x=3, y=2019
  V66: x=3, y=2151
  V67: x=4, y=154
  V68: x=4, y=331
  V69: x=4, y=406
  V70: x=4, y=607
  V71: x=4, y=734
  V72: x=4, y=838
  V73: x=4, y=919
  V74: x=4, y=1020
  V75: x=4, y=1070
  V76: x=4, y=1189
  V77: x=4, y=1233
  V78: x=4, y=1352
  V79: x=4, y=1478
  V80: x=4, y=1615
  V81: x=4, y=2008
  V82: x=4, y=2048
  V83: x=4, y=2153
  V84: x=5, y=156
  V85: x=5, y=368
  V86: x=5, y=408
  V87: x=5, y=736
  V88: x=5, y=852
  V89: x=5, y=887
  V90: x=5, y=1007
  V91: x=5, y=1082
  V92: x=5, y=1110
  V93: x=5, y=1161
  V94: x=5, y=1191
  V95: x=5, y=1234
  V96: x=5, y=1350
  V97: x=5, y=1489
  V98: x=5, y=1533
  V99: x=5, y=2010
  V100: x=5, y=2154
  V101: x=6, y=159
  V102: x=6, y=387
  V103: x=6, y=744
  V104: x=6, y=813
  V105: x=6, y=837
  V106: x=6, y=890
  V107: x=6, y=1000
  V108: x=6, y=1025
  V109: x=6, y=1112
  V110: x=6, y=1163
  V111: x=6, y=1194
  V112: x=6, y=1272
  V113: x=6, y=1318
  V114: x=6, y=1351
  V115: x=6, y=1467
  V116: x=6, y=1517
  V117: x=6, y=2028
  V118: x=6, y=2165
  V119: x=7, y=164
  V120: x=7, y=414
  V121: x=7, y=746
  V122: x=7, y=839
  V123: x=7, y=1001
  V124: x=7, y=1115
  V125: x=7, y=1283
  V126: x=7, y=1324
  V127: x=7, y=1353
  V128: x=7, y=1377
  V129: x=7, y=1485
  V130: x=7, y=2012
  V131: x=7, y=2156
  V132: x=8, y=416
  V133: x=8, y=697
  V134: x=8, y=747
  V135: x=8, y=857
  V136: x=8, y=967
  V137: x=8, y=1028
  V138: x=8, y=1118
  V139: x=8, y=1298
  V140: x=8, y=1326
  V141: x=8, y=1373
  V142: x=8, y=1487
  V143: x=8, y=1672
  V144: x=8, y=2022
  V145: x=8, y=2051
  V146: x=8, y=2164
  V147: x=9, y=12
  V148: x=9, y=375
  V149: x=9, y=710
  V150: x=9, y=749
  V151: x=9, y=814
  V152: x=9, y=860
  V153: x=9, y=1004
  V154: x=9, y=1120
  V155: x=9, y=1173
  V156: x=9, y=1200
  V157: x=9, y=1271
  V158: x=9, y=1302
  V159: x=9, y=1492
  V160: x=9, y=2013
  V161: x=10, y=15
  V162: x=10, y=400
  V163: x=10, y=631
  V164: x=10, y=751
  V165: x=10, y=806
  V166: x=10, y=871
  V167: x=10, y=967
  V168: x=10, y=1124
  V169: x=10, y=1156
  V170: x=10, y=1221
  V171: x=10, y=1354
  V172: x=10, y=1459
  V173: x=10, y=1492
  V174: x=10, y=2026
  V175: x=11, y=367
  V176: x=11, y=402
  V177: x=11, y=712
  V178: x=11, y=765
  V179: x=11, y=962
  V180: x=11, y=1130
  V181: x=11, y=1178
  V182: x=11, y=1202
  V183: x=11, y=1348
  V184: x=11, y=1462
  V185: x=11, y=1588
  V186: x=11, y=2039
  V187: x=12, y=404
  V188: x=12, y=708
  V189: x=12, y=756
  V190: x=12, y=960
  V191: x=12, y=1224
  V192: x=12, y=1283
  V193: x=12, y=1353
  V194: x=12, y=1474
  V195: x=12, y=1519
  V196: x=12, y=1574
  V197: x=12, y=2011
  V198: x=12, y=2045
  V199: x=13, y=405
  V200: x=13, y=715
  V201: x=13, y=758
  V202: x=13, y=814
  V203: x=13, y=995
  V204: x=13, y=1084
  V205: x=13, y=1229
  V206: x=13, y=1285
  V207: x=13, y=1467
  V208: x=13, y=1576
  V209: x=13, y=2014
  V210: x=14, y=407
  V211: x=14, y=652
  V212: x=14, y=717
  V213: x=14, y=765
  V214: x=14, y=808
  V215: x=14, y=955
  V216: x=14, y=1085
  V217: x=14, y=1133
  V218: x=14, y=1163
  V219: x=14, y=1225
  V220: x=14, y=1288
  V221: x=14, y=1371
  V222: x=14, y=1468
  V223: x=14, y=1523
  V224: x=14, y=1578
  V225: x=14, y=2009
  V226: x=14, y=2169
  V227: x=15, y=0
  V228: x=15, y=392
  V229: x=15, y=717
  V230: x=15, y=774
  V231: x=15, y=819
  V232: x=15, y=962
  V233: x=15, y=1087
  V234: x=15, y=1227
  V235: x=15, y=1289
  V236: x=15, y=1372
  V237: x=15, y=1465
  V238: x=15, y=2044
  V239: x=16, y=0
  V240: x=16, y=412
  V241: x=16, y=592
  V242: x=16, y=708
  V243: x=16, y=779
  V244: x=16, y=807
  V245: x=16, y=955
  V246: x=16, y=1011
  V247: x=16, y=1090
  V248: x=16, y=1240
  V249: x=16, y=1353
  V250: x=16, y=1466
  V251: x=16, y=1582
  V252: x=16, y=2009
  V253: x=16, y=2157
  V254: x=17, y=1
  V255: x=17, y=414
  V256: x=17, y=595
  V257: x=17, y=711
