LASER-LINIEN 3D-KOORDINATEN
==================================================

Anzahl Punkte: 200
Kameraposition: (25.220, -38.682, 20.909) cm

X [cm]	Y [cm]	Z [cm]
--------------------------------------------------
-0.7204	50.1577	0.0000
-0.3896	49.8960	0.0000
-0.0590	49.6345	0.0000
0.2718	49.3490	0.0000
0.6018	49.0880	0.0000
0.9320	48.8029	0.0000
1.2864	48.5410	0.0000
1.6155	48.2807	0.0000
1.9449	47.9963	0.0000
2.2734	47.7365	0.0000
2.6022	47.4526	0.0000
2.9302	47.1932	0.0000
3.2833	46.9085	0.0000
3.6107	46.6496	0.0000
3.9378	46.3908	0.0000
4.2652	46.1081	0.0000
4.5918	45.8499	0.0000
4.9433	45.5664	0.0000
5.2693	45.3086	0.0000
5.5956	45.0268	0.0000
5.9210	44.7695	0.0000
6.2462	44.5124	0.0000
6.5716	44.2313	0.0000
6.9208	43.9734	0.0000
7.2457	43.6928	0.0000
7.5697	43.4366	0.0000
7.8935	43.1806	0.0000
8.2175	42.9007	0.0000
8.5652	42.6440	0.0000
8.8887	42.3646	0.0000
9.2113	42.1094	0.0000
9.5342	41.8305	0.0000
9.8564	41.5758	0.0000
10.1782	41.3213	0.0000
10.5246	41.0420	0.0000
10.8459	40.7879	0.0000
11.1674	40.5102	0.0000
11.4882	40.2566	0.0000
11.8091	39.9793	0.0000
12.1536	39.7251	0.0000
12.4735	39.4721	0.0000
12.7936	39.1955	0.0000
13.1130	38.9430	0.0000
13.4326	38.6668	0.0000
13.7514	38.4148	0.0000
14.0942	38.1619	0.0000
14.4129	37.8864	0.0000
14.7309	37.6350	0.0000
15.0491	37.3600	0.0000
15.3666	37.1090	0.0000
15.7084	36.8335	0.0000
16.0253	36.5829	0.0000
16.3420	36.3326	0.0000
16.6588	36.0587	0.0000
16.9750	35.8088	0.0000
17.2913	35.5354	0.0000
17.6308	35.2850	0.0000
17.9466	35.0120	0.0000
18.2617	34.7629	0.0000
18.5765	34.5141	0.0000
18.8914	34.2418	0.0000
19.2296	33.9925	0.0000
19.5440	33.7206	0.0000
19.8577	33.4727	0.0000
20.1716	33.2013	0.0000
20.4848	32.9537	0.0000
20.7978	32.7063	0.0000
21.1346	32.4348	0.0000
21.4470	32.1878	0.0000
21.7596	31.9175	0.0000
22.0715	31.6710	0.0000
22.3831	31.4248	0.0000
22.7186	31.1543	0.0000
23.0297	30.9084	0.0000
23.3409	30.6392	0.0000
23.6515	30.3938	0.0000
23.9622	30.1250	0.0000
24.2723	29.8800	0.0000
24.6056	29.6344	0.0000
24.9155	29.3663	0.0000
25.2248	29.1219	0.0000
25.5342	28.8542	0.0000
25.8430	28.6103	0.0000
26.1753	28.3423	0.0000
26.4836	28.0987	0.0000
26.7916	27.8554	0.0000
27.0997	27.5888	0.0000
27.4072	27.3458	0.0000
27.7148	27.0797	0.0000
28.0450	26.8365	0.0000
28.3517	26.5941	0.0000
28.6586	26.3286	0.0000
28.9648	26.0867	0.0000
29.2711	25.8216	0.0000
29.6000	25.5795	0.0000
29.9058	25.3149	0.0000
30.2109	25.0737	0.0000
30.5159	24.8328	0.0000
30.8209	24.5688	0.0000
31.1253	24.3283	0.0000
31.4529	24.0642	0.0000
31.7568	23.8241	0.0000
32.0608	23.5609	0.0000
32.3642	23.3212	0.0000
32.6674	23.0817	0.0000
32.9707	22.8192	0.0000
33.2963	22.5796	0.0000
33.5991	22.3175	0.0000
33.9012	22.0788	0.0000
34.2034	21.8172	0.0000
34.5051	21.5789	0.0000
34.8294	21.3403	0.0000
35.1309	21.0793	0.0000
35.4318	20.8416	0.0000
35.7327	20.5810	0.0000
36.0332	20.3437	0.0000
36.3333	20.1066	0.0000
36.6564	19.8462	0.0000
36.9560	19.6095	0.0000
37.2557	19.3499	0.0000
37.5549	19.1136	0.0000
37.8541	18.8545	0.0000
38.1755	18.6181	0.0000
38.4740	18.3824	0.0000
38.7724	18.1239	0.0000
39.0704	17.8886	0.0000
39.3684	17.6305	0.0000
39.6658	17.3956	0.0000
39.9860	17.1375	0.0000
40.2829	16.9030	0.0000
40.5796	16.6686	0.0000
40.8764	16.4116	0.0000
41.1726	16.1776	0.0000
41.4914	15.9206	0.0000
41.7872	15.6870	0.0000
42.0826	15.4536	0.0000
42.3782	15.1976	0.0000
42.6732	14.9646	0.0000
42.9683	14.7090	0.0000
43.2852	14.4761	0.0000
43.5798	14.2208	0.0000
43.8738	13.9887	0.0000
44.1677	13.7566	0.0000
44.4615	13.5020	0.0000
44.7772	13.2701	0.0000
45.0705	13.0159	0.0000
45.3634	12.7846	0.0000
45.6563	12.5308	0.0000
45.9486	12.3000	0.0000
46.2408	12.0693	0.0000
46.5552	11.8158	0.0000
46.8468	11.5855	0.0000
47.1385	11.3327	0.0000
47.4297	11.1028	0.0000
47.7209	10.8504	0.0000
48.0338	10.6207	0.0000
48.3242	10.3913	0.0000
