LASER-LINIEN 3D-KOORDINATEN (MIT LICHTBRECHUNG)
==================================================

Brechungsindizes: n_air = 1.0, n_water = 1.333
Anzahl Punkte: 200
Kameraposition: (25.062, -26.974, 19.892) cm

X [cm]	Y [cm]	Z [cm]
--------------------------------------------------
-1.0787	-32.4085	0.0000
-0.7441	-32.4070	0.0000
-0.4083	-32.3800	0.0000
-0.0741	-32.3795	0.0000
0.2599	-32.3795	0.0000
0.5949	-32.3539	0.0000
0.9285	-32.3549	0.0000
1.2631	-32.3303	0.0000
1.6221	-32.3284	0.0000
1.9562	-32.3050	0.0000
2.2889	-32.3079	0.0000
2.6225	-32.2854	0.0000
2.9548	-32.2893	0.0000
3.2880	-32.2679	0.0000
3.6210	-32.2470	0.0000
3.9783	-32.2489	0.0000
4.3108	-32.2291	0.0000
4.6431	-32.2098	0.0000
4.9740	-32.2167	0.0000
5.3059	-32.1985	0.0000
5.6374	-32.1807	0.0000
5.9678	-32.1892	0.0000
6.3244	-32.1692	0.0000
6.6553	-32.1531	0.0000
6.9860	-32.1375	0.0000
7.3164	-32.1224	0.0000
7.6466	-32.1079	0.0000
7.9766	-32.0939	0.0000
8.3063	-32.0804	0.0000
8.6603	-32.0901	0.0000
8.9896	-32.0777	0.0000
9.3186	-32.0658	0.0000
9.6474	-32.0545	0.0000
9.9769	-32.0182	0.0000
10.3052	-32.0079	0.0000
10.6334	-31.9982	0.0000
10.9865	-31.9864	0.0000
11.3142	-31.9778	0.0000
11.6416	-31.9697	0.0000
11.9688	-31.9622	0.0000
12.2957	-31.9552	0.0000
12.6233	-31.9233	0.0000
12.9498	-31.9174	0.0000
13.3012	-31.9097	0.0000
13.6279	-31.8795	0.0000
13.9537	-31.8753	0.0000
14.2793	-31.8715	0.0000
14.6053	-31.8430	0.0000
14.9304	-31.8404	0.0000
15.2553	-31.8383	0.0000
15.6056	-31.8094	0.0000
15.9300	-31.8084	0.0000
16.2548	-31.7827	0.0000
16.5788	-31.7827	0.0000
16.9031	-31.7581	0.0000
17.2266	-31.7593	0.0000
17.5504	-31.7358	0.0000
17.8983	-31.7363	0.0000
18.2217	-31.7139	0.0000
18.5448	-31.6921	0.0000
18.8671	-31.6959	0.0000
19.1897	-31.6752	0.0000
19.5121	-31.6550	0.0000
19.8337	-31.6605	0.0000
20.1803	-31.6400	0.0000
20.5020	-31.6215	0.0000
20.8233	-31.6035	0.0000
21.1440	-31.6112	0.0000
21.4649	-31.5944	0.0000
21.7856	-31.5780	0.0000
22.1060	-31.5622	0.0000
22.4262	-31.5470	0.0000
22.7707	-31.5312	0.0000
23.0904	-31.5171	0.0000
23.4098	-31.5035	0.0000
23.7290	-31.4905	0.0000
24.0479	-31.4780	0.0000
24.3666	-31.4660	0.0000
24.6851	-31.4546	0.0000
25.0278	-31.4429	0.0000
25.3457	-31.4325	0.0000
25.6635	-31.4228	0.0000
25.9809	-31.4135	0.0000
26.2984	-31.3798	0.0000
