ROTESTE PIXEL KOORDINATEN
==================================================

Anzahl vertikaler Linien: 500
Marker-Größe: 5 px
Boden-ROI-Größe: 2624 x 2624 px

Gefundene roteste Pixel: 500

  Linie 1: x=3, y=1391
  Linie 2: x=5, y=1393
  Linie 3: x=13, y=1409
  Linie 4: x=17, y=1415
  Linie 5: x=25, y=1404
  Linie 6: x=26, y=1403
  Linie 7: x=31, y=1409
  Linie 8: x=37, y=1406
  Linie 9: x=45, y=1457
  Linie 10: x=49, y=1410
  Linie 11: x=52, y=1414
  Linie 12: x=60, y=1470
  Linie 13: x=67, y=2118
  Linie 14: x=72, y=2297
  Linie 15: x=77, y=2117
  Linie 16: x=82, y=2115
  Linie 17: x=84, y=2117
  Linie 18: x=90, y=2137
  Linie 19: x=97, y=1789
  Linie 20: x=99, y=1400
  Linie 21: x=104, y=1404
  Linie 22: x=110, y=1482
  Linie 23: x=119, y=163
  Linie 24: x=120, y=162
  Linie 25: x=130, y=160
  Linie 26: x=132, y=162
  Linie 27: x=136, y=166
  Linie 28: x=143, y=879
  Linie 29: x=146, y=909
  Linie 30: x=152, y=933
  Linie 31: x=157, y=1459
  Linie 32: x=162, y=744
  Linie 33: x=167, y=928
  Linie 34: x=173, y=968
  Linie 35: x=178, y=634
  Linie 36: x=183, y=653
  Linie 37: x=188, y=676
  Linie 38: x=198, y=1376
  Linie 39: x=203, y=1382
  Linie 40: x=208, y=1381
  Linie 41: x=210, y=1383
  Linie 42: x=219, y=1381
  Linie 43: x=224, y=1382
  Linie 44: x=229, y=1381
  Linie 45: x=230, y=1382
  Linie 46: x=236, y=1381
  Linie 47: x=244, y=1381
  Linie 48: x=246, y=1381
  Linie 49: x=255, y=1378
  Linie 50: x=261, y=1378
  Linie 51: x=265, y=1381
  Linie 52: x=271, y=1377
  Linie 53: x=276, y=1378
  Linie 54: x=278, y=1376
  Linie 55: x=285, y=1379
  Linie 56: x=292, y=1376
  Linie 57: x=297, y=1377
  Linie 58: x=300, y=1377
  Linie 59: x=304, y=1377
  Linie 60: x=313, y=1372
  Linie 61: x=316, y=1376
  Linie 62: x=320, y=1375
  Linie 63: x=325, y=1376
  Linie 64: x=333, y=1374
  Linie 65: x=337, y=1375
  Linie 66: x=342, y=1375
  Linie 67: x=346, y=1375
  Linie 68: x=353, y=1374
  Linie 69: x=356, y=1374
  Linie 70: x=366, y=1371
  Linie 71: x=367, y=1371
  Linie 72: x=376, y=1368
  Linie 73: x=379, y=1371
  Linie 74: x=387, y=1369
  Linie 75: x=388, y=1370
  Linie 76: x=397, y=1368
  Linie 77: x=400, y=1369
  Linie 78: x=405, y=1370
  Linie 79: x=409, y=1366
  Linie 80: x=417, y=1367
  Linie 81: x=419, y=1366
  Linie 82: x=425, y=1366
  Linie 83: x=434, y=2550
  Linie 84: x=439, y=2585
  Linie 85: x=444, y=2192
  Linie 86: x=446, y=2192
  Linie 87: x=451, y=2068
  Linie 88: x=456, y=1005
  Linie 89: x=461, y=720
  Linie 90: x=467, y=496
  Linie 91: x=476, y=126
  Linie 92: x=477, y=126
  Linie 93: x=484, y=1364
  Linie 94: x=492, y=1364
  Linie 95: x=493, y=1364
  Linie 96: x=498, y=1365
  Linie 97: x=503, y=1367
  Linie 98: x=511, y=1364
  Linie 99: x=516, y=1363
  Linie 100: x=519, y=1363
  Linie 101: x=525, y=1365
  Linie 102: x=534, y=1362
  Linie 103: x=537, y=1363
  Linie 104: x=540, y=1363
  Linie 105: x=545, y=1362
  Linie 106: x=555, y=1361
  Linie 107: x=556, y=1359
  Linie 108: x=562, y=1359
  Linie 109: x=566, y=1362
  Linie 110: x=576, y=1358
  Linie 111: x=581, y=1361
  Linie 112: x=586, y=1360
  Linie 113: x=592, y=1358
  Linie 114: x=597, y=1361
  Linie 115: x=598, y=1361
  Linie 116: x=606, y=1358
  Linie 117: x=611, y=1357
  Linie 118: x=615, y=1358
  Linie 119: x=619, y=1357
  Linie 120: x=625, y=1357
  Linie 121: x=633, y=1356
  Linie 122: x=635, y=1357
  Linie 123: x=642, y=1356
  Linie 124: x=649, y=1357
