PROFIL-VERGLEICH DATEN (MIT LICHTBRECHUNG)
============================================================

Brechungsindizes: n_air = 1.0, n_water = 1.333
Calibration Y-Ebene: -31.078 cm
Anzahl Calibration-Punkte: 200
Anzahl Measurement-Punkte: 1000

HÖHENPROFIL-STATISTIKEN:
  Min: -9.091 cm
  Max: 1.198 cm
  Mittelwert: 0.107 cm
  Standardabweichung: 0.886 cm

X [cm]	Calib Z [cm]	Meas Z [cm]	Höhe [cm]
------------------------------------------------------------
-1.0787	0.0000	0.2727	0.2727
-0.7441	0.0000	0.3353	0.3353
-0.4083	0.0000	0.3777	0.3777
-0.0741	0.0000	0.4072	0.4072
0.2599	0.0000	0.2916	0.2916
0.5949	0.0000	0.2148	0.2148
0.9285	0.0000	0.2465	0.2465
1.2631	0.0000	-9.0914	-9.0914
1.6221	0.0000	0.3193	0.3193
1.9562	0.0000	0.3449	0.3449
2.2889	0.0000	0.2625	0.2625
2.6225	0.0000	0.1519	0.1519
2.9548	0.0000	0.0499	0.0499
3.2880	0.0000	-0.0274	-0.0274
3.6210	0.0000	0.1034	0.1034
3.9783	0.0000	0.3151	0.3151
4.3108	0.0000	0.4791	0.4791
4.6431	0.0000	0.3902	0.3902
4.9740	0.0000	0.3846	0.3846
5.3059	0.0000	0.3571	0.3571
5.6374	0.0000	0.3519	0.3519
5.9678	0.0000	0.3615	0.3615
6.3244	0.0000	0.3848	0.3848
6.6553	0.0000	0.3654	0.3654
6.9860	0.0000	0.3599	0.3599
7.3164	0.0000	0.3416	0.3416
7.6466	0.0000	-3.2606	-3.2606
7.9766	0.0000	0.3623	0.3623
8.3063	0.0000	0.3611	0.3611
8.6603	0.0000	-0.4515	-0.4515
8.9896	0.0000	0.3368	0.3368
9.3186	0.0000	0.3773	0.3773
9.6474	0.0000	0.3647	0.3647
9.9769	0.0000	-0.2805	-0.2805
10.3052	0.0000	-0.7729	-0.7729
10.6334	0.0000	-0.3162	-0.3162
10.9865	0.0000	0.1406	0.1406
11.3142	0.0000	0.2983	0.2983
11.6416	0.0000	0.3422	0.3422
11.9688	0.0000	0.3476	0.3476
12.2957	0.0000	0.3710	0.3710
12.6233	0.0000	0.4578	0.4578
12.9498	0.0000	0.5624	0.5624
13.3012	0.0000	0.5793	0.5793
13.6279	0.0000	0.6362	0.6362
13.9537	0.0000	0.6557	0.6557
14.2793	0.0000	0.7005	0.7005
14.6053	0.0000	0.7517	0.7517
14.9304	0.0000	0.8057	0.8057
15.2553	0.0000	0.8277	0.8277
