ROTESTE PIXEL KOORDINATEN (MESSBILD)
==================================================

Anzahl vertikaler Linien: 500
Marker-Größe: 5 px
Boden-ROI-Größe: 2624 x 2624 px

Gefundene roteste Pixel: 500

  Linie 1: x=1, y=1386
  Linie 2: x=5, y=1390
  Linie 3: x=14, y=1407
  Linie 4: x=15, y=1409
  Linie 5: x=25, y=1404
  Linie 6: x=26, y=1404
  Linie 7: x=31, y=1407
  Linie 8: x=40, y=1419
  Linie 9: x=46, y=1423
  Linie 10: x=47, y=1425
  Linie 11: x=55, y=1428
  Linie 12: x=58, y=1430
  Linie 13: x=67, y=2117
  Linie 14: x=72, y=2297
  Linie 15: x=77, y=2284
  Linie 16: x=82, y=2115
  Linie 17: x=83, y=2116
  Linie 18: x=93, y=1942
  Linie 19: x=96, y=1786
  Linie 20: x=99, y=1398
  Linie 21: x=104, y=1401
  Linie 22: x=112, y=1403
  Linie 23: x=115, y=1461
  Linie 24: x=122, y=177
  Linie 25: x=125, y=1430
  Linie 26: x=131, y=1458
  Linie 27: x=136, y=1471
  Linie 28: x=141, y=1436
  Linie 29: x=146, y=1451
  Linie 30: x=154, y=921
  Linie 31: x=157, y=1459
  Linie 32: x=165, y=1441
  Linie 33: x=167, y=1443
  Linie 34: x=177, y=1444
  Linie 35: x=178, y=1439
  Linie 36: x=185, y=1447
  Linie 37: x=192, y=1369
  Linie 38: x=197, y=1371
  Linie 39: x=203, y=1379
  Linie 40: x=207, y=1382
  Linie 41: x=212, y=1380
  Linie 42: x=215, y=1382
  Linie 43: x=224, y=1379
  Linie 44: x=227, y=1379
  Linie 45: x=230, y=1379
  Linie 46: x=236, y=1381
  Linie 47: x=245, y=1381
  Linie 48: x=249, y=1380
  Linie 49: x=251, y=1381
  Linie 50: x=261, y=1378
  Linie 51: x=264, y=1377
  Linie 52: x=267, y=1377
  Linie 53: x=276, y=1372
  Linie 54: x=282, y=1374
  Linie 55: x=286, y=1374
  Linie 56: x=288, y=1378
  Linie 57: x=296, y=1373
  Linie 58: x=303, y=1371
  Linie 59: x=307, y=1373
  Linie 60: x=309, y=1374
  Linie 61: x=319, y=1373
  Linie 62: x=320, y=1373
  Linie 63: x=326, y=1374
  Linie 64: x=334, y=1363
  Linie 65: x=336, y=1364
  Linie 66: x=342, y=1368
  Linie 67: x=346, y=1367
  Linie 68: x=351, y=1369
  Linie 69: x=361, y=1365
  Linie 70: x=364, y=1370
  Linie 71: x=371, y=1368
  Linie 72: x=374, y=1369
  Linie 73: x=377, y=1369
  Linie 74: x=387, y=1366
  Linie 75: x=388, y=1365
  Linie 76: x=397, y=1358
  Linie 77: x=403, y=1361
  Linie 78: x=404, y=1361
  Linie 79: x=413, y=1359
  Linie 80: x=414, y=1359
  Linie 81: x=421, y=1359
  Linie 82: x=425, y=1358
  Linie 83: x=434, y=2587
  Linie 84: x=439, y=2585
  Linie 85: x=445, y=2083
  Linie 86: x=446, y=2083
  Linie 87: x=451, y=2044
  Linie 88: x=456, y=980
  Linie 89: x=461, y=692
  Linie 90: x=467, y=1358
  Linie 91: x=472, y=1363
  Linie 92: x=477, y=1361
  Linie 93: x=485, y=1361
  Linie 94: x=488, y=1356
  Linie 95: x=497, y=1351
  Linie 96: x=499, y=1352
  Linie 97: x=503, y=1354
  Linie 98: x=509, y=1351
  Linie 99: x=514, y=1347
  Linie 100: x=523, y=1347
  Linie 101: x=527, y=1334
  Linie 102: x=534, y=1328
  Linie 103: x=536, y=1332
